transactionId,type,ticker,name,transactionDate,units,currency,price,totalConsideration,settlementDate,clientInternal
txn-0001,Buy,BT/A LN,BT Group,2022-03-01,100,GBP,161.02,16102,2022-03-04,EQ7B988C36E34C4
txn-0002,Buy,JET LN,Just Eat Takeaway,2022-05-03,100,GBP,1453.2,145320,2022-05-07,EQ658AEBA8AED04
txn-0003,Buy,LLOY LN,Lloyds Banking Group,2022-02-04,100,GBP,45.31,4531,2022-02-06,EQ03B8F5DBB1DF4
txn-0004,Buy,MRW LN,Morrisons,2022-05-03,100,GBP,286.4,28640,2022-05-06,EQ5C5CD425E1984
txn-0005,Sell,NG/ LN,National Grid plc,2022-03-03,100,GBP,1136.5,113650,2022-03-05,EQA98A262394884
txn-0006,Buy,RDSA LN,Royal Dutch Shell,2022-01-13,100,GBP,2203.79,220379,2022-01-16,EQ418D3B0F4C604
txn-0007,Sell,SGE LN,Sage Group,2022-07-24,100,USD,726.4,72640,2022-07-27,EQ7434B39DC27E4
txn-0008,Sell,STJ LN,St. James's Place plc,2022-07-31,100,USD,1214,121400,2022-08-02,EQ55A76BD5361B4
txn-0009,Buy,TSCO LN,Tesco,2022-08-09,100,GBP,263.7,26370,2022-08-12,EQ47FD7AEB8FEF4
txn-0010,Sell,MRW LN,Morrisons,2022-08-19,100,GBP,320.3,32030,2022-08-21,EQ5C5CD425E1984
